
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                  10436 Services                   0     15,968 K
SettingSyncHost.exe          11012 Console                    1      4,288 K
LockApp.exe                  11508 Console                    1     27,272 K
RuntimeBroker.exe            11740 Console                    1     15,424 K
ShellExperienceHost.exe       9328 Console                    1    140,816 K
dllhost.exe                  12812 Services                   0      3,852 K
audiodg.exe                  13052 Services                   0     30,292 K
Wacom_TabletUser.exe          7584 Console                    1      2,088 K
WacomHost.exe                 3512 Console                    1      1,256 K
Wacom_Tablet.exe             12944 Console                    1     12,000 K
YourPhoneServer.exe          12896 Console                    1      5,864 K
Wacom_TouchUser.exe          13228 Console                    1      5,460 K
SecurityHealthSystray.exe    14092 Console                    1      7,124 K
SecurityHealthService.exe    14136 Services                   0      8,456 K
RtkNGUI64.exe                13476 Console                    1      8,188 K
RAVBg64.exe                  14284 Console                    1      5,956 K
CastSrv.exe                  13944 Console                    1      7,176 K
LCore.exe                    13632 Console                    1     18,184 K
WavesSvc64.exe               13452 Console                    1     14,196 K
PreMiD.exe                    8536 Console                    1     32,860 K
VoicemeeterClient.exe        14872 Console                    1      2,284 K
PreMiD.exe                   15352 Console                    1      4,472 K
PreMiD.exe                   14576 Console                    1     12,548 K
ShareX.exe                   14684 Console                    1     26,928 K
PreMiD.exe                   15012 Console                    1     11,592 K
PCEqualizer.exe              16928 Console                    1     15,988 K
ApplicationFrameHost.exe     15288 Console                    1     24,028 K
WinStore.App.exe              9828 Console                    1      3,676 K
IAStorIcon.exe               10480 Console                    1      8,748 K
RuntimeBroker.exe             7592 Console                    1     10,132 K
svchost.exe                   1424 Services                   0     13,100 K
RemindersServer.exe           7684 Console                    1      9,020 K
DellSupportAssistRemedati    16292 Services                   0     25,000 K
IAStorDataMgrSvc.exe         17132 Services                   0     30,544 K
jhi_service.exe               9760 Services                   0      1,112 K
LMS.exe                      16568 Services                   0      2,560 K
SgrmBroker.exe               15944 Services                   0      4,060 K
svchost.exe                   4212 Services                   0     10,688 K
svchost.exe                  17400 Services                   0      4,924 K
Video.UI.exe                  3540 Console                    1      2,236 K
RuntimeBroker.exe            14488 Console                    1      4,268 K
svchost.exe                   9084 Services                   0      5,884 K
dllhost.exe                   5604 Console                    1      9,924 K
SearchUI.exe                  8868 Console                    1    225,320 K
WindowsInternal.Composabl     3048 Console                    1     26,168 K
svchost.exe                   9716 Services                   0     27,088 K
RuntimeBroker.exe             3424 Console                    1     24,676 K
RuntimeBroker.exe            12600 Console                    1     26,556 K
SecurityHealthHost.exe        5612 Console                    1      4,400 K
SystemSettingsBroker.exe     10508 Console                    1     14,112 K
svchost.exe                  14024 Services                   0      3,008 K
rundll32.exe                 18220 Console                    1      1,480 K
dllhost.exe                  11392 Services                   0      4,684 K
msdtc.exe                    18804 Services                   0      1,008 K
svchost.exe                   6212 Services                   0      2,324 K
svchost.exe                   2212 Services                   0      6,308 K
